timestamp,temperature,humidity,dust
2023-01-17T23:15:52+00:00,17.1,62.3,10.0
2023-01-17T23:16:16+00:00,17.2,62.31,10.0
2023-01-17T23:16:40+00:00,17.2,62.32,10.0
2023-01-17T23:17:05+00:00,16.2,62.33,10.0
2023-01-17T23:17:29+00:00,13.9,62.34,10.0
2023-01-17T23:17:53+00:00,12.2,62.35,10.0
2023-01-17T23:18:18+00:00,11.4,62.36,10.0
2023-01-17T23:18:45+00:00,11.0,62.37,10.0
2023-01-17T23:19:06+00:00,12.6,62.38,10.0
2023-01-17T23:19:31+00:00,13.5,62.39,10.0
2023-01-17T23:19:55+00:00,13.8,62.4,10.0
2023-01-17T23:20:19+00:00,14.2,62.41,10.0
2023-01-17T23:20:44+00:00,14.6,62.42,6.0
2023-01-17T23:21:08+00:00,15.0,62.43,3.5
2023-01-17T23:21:32+00:00,15.4,62.44,3.5
2023-01-17T23:21:57+00:00,15.8,62.45,3.6
2023-01-17T23:22:59+00:00,16.2,62.46,10.0
2023-01-17T23:23:32+00:00,16.4,62.47,10.0
2023-01-17T23:24:04+00:00,16.6,62.48,10.0
2023-01-17T23:24:36+00:00,16.7,62.49,10.0
2023-01-17T23:25:08+00:00,16.8,62.5,10.0
2023-01-17T23:25:40+00:00,17.2,62.51,10.0
2023-01-17T23:26:12+00:00,17.3,62.52,12.0
2023-01-17T23:26:45+00:00,17.3,62.53,12.0
2023-01-17T23:27:17+00:00,17.3,62.54,12.0
2023-01-17T23:27:49+00:00,17.3,62.55,3.7
2023-01-17T23:28:21+00:00,17.3,62.56,3.5
2023-01-17T23:28:53+00:00,17.3,62.57,3.8
2023-01-17T23:29:26+00:00,17.4,62.58,3.9
2023-01-17T23:29:58+00:00,17.3,62.59,3.7
2023-01-17T23:30:30+00:00,17.2,62.6,3.6
2023-01-17T23:31:02+00:00,17.2,62.61,3.2
2023-01-17T23:31:34+00:00,17.3,62.62,3.4
2023-01-17T23:32:06+00:00,17.4,62.63,3.5
2023-01-17T23:32:39+00:00,17.4,62.64,3.0
2023-01-17T23:33:11+00:00,17.4,62.65,2.8
2023-01-17T23:33:43+00:00,17.4,62.66,2.6
2023-01-17T23:34:15+00:00,17.3,62.67,2.9
2023-01-17T23:34:48+00:00,17.3,62.68,3.2
2023-01-17T23:35:20+00:00,17.3,62.69,2.5
2023-01-17T23:35:52+00:00,17.3,62.7,2.4
2023-01-17T23:36:24+00:00,17.3,62.71,2.7
2023-01-17T23:36:56+00:00,17.3,62.72,2.6
2023-01-17T23:37:28+00:00,17.3,62.73,2.2
2023-01-17T23:38:01+00:00,17.3,62.74,2.3
2023-01-17T23:38:33+00:00,17.3,62.75,2.6
2023-01-17T23:39:05+00:00,17.3,62.76,2.3
2023-01-17T23:39:37+00:00,17.3,62.77,2.5
2023-01-17T23:40:09+00:00,17.4,62.78,2.1
2023-01-17T23:40:41+00:00,17.4,62.79,41.4
2023-01-17T23:41:14+00:00,17.6,62.8,9.8
2023-01-17T23:41:46+00:00,17.6,62.81,10.2
2023-01-17T23:42:18+00:00,17.5,62.82,6.4
2023-01-17T23:42:50+00:00,17.5,62.83,8.0
2023-01-17T23:44:09+00:00,17.5,62.84,12.0
2023-01-17T23:45:11+00:00,17.4,62.85,9.0
2023-01-17T23:46:14+00:00,17.4,62.86,11.0
2023-01-17T23:47:17+00:00,17.4,62.87,15.0
2023-01-17T23:48:20+00:00,17.4,62.88,15.0
2023-01-17T23:49:22+00:00,17.4,62.89,15.5
2023-01-17T23:50:25+00:00,17.4,62.9,16.0
2023-01-17T23:51:28+00:00,17.3,62.91,17.0
2023-01-17T23:52:31+00:00,17.4,62.92,22.5
2023-01-17T23:53:33+00:00,17.3,62.93,22.5
2023-01-17T23:54:36+00:00,17.4,62.94,30.0
2023-01-17T23:55:39+00:00,17.3,62.95,33.0
2023-01-17T23:56:41+00:00,17.2,62.96,32.0
2023-01-17T23:57:44+00:00,17.2,62.97,31.0
2023-01-17T23:58:47+00:00,17.2,62.98,36.0
2023-01-17T23:59:50+00:00,17.2,62.99,35.9
2023-01-18T00:00:52+00:00,17.1,62.1,41.0
2023-01-18T00:01:55+00:00,17.1,62.101,70.0
2023-01-18T00:02:58+00:00,17.0,62.102,70.0
2023-01-18T00:04:01+00:00,17.0,62.103,70.0
2023-01-18T00:05:04+00:00,17.0,62.104,70.0
2023-01-18T00:06:06+00:00,17.1,62.105,70.0
2023-01-18T00:07:09+00:00,17.1,62.106,70.0
2023-01-18T00:08:12+00:00,17.1,62.107,70.0
2023-01-18T00:09:15+00:00,17.2,62.108,616.8
2023-01-18T00:10:17+00:00,17.3,62.109,690.1
2023-01-18T00:11:20+00:00,17.3,62.11,283.4
2023-01-18T00:12:23+00:00,17.4,62.111,228.3
2023-01-18T00:13:25+00:00,17.3,62.112,181.0
2023-01-18T00:14:28+00:00,17.3,62.113,123.0
2023-01-18T00:15:31+00:00,17.3,62.114,117.5
2023-01-18T00:16:34+00:00,17.2,62.115,90.8
2023-01-18T00:17:36+00:00,17.2,62.116,77.8
2023-01-18T00:18:39+00:00,17.1,62.117,60.5
2023-01-18T00:19:42+00:00,17.1,62.118,54.1
2023-01-18T00:20:45+00:00,17.1,62.119,47.9
2023-01-18T00:21:47+00:00,17.0,62.12,51.4
2023-01-18T00:22:50+00:00,17.0,62.121,48.6
2023-01-18T00:23:53+00:00,17.1,62.122,45.2
2023-01-18T00:24:55+00:00,17.1,62.123,34.7
2023-01-18T00:25:58+00:00,17.1,62.124,32.7
2023-01-18T00:27:01+00:00,17.0,62.125,25.8
2023-01-18T00:28:04+00:00,17.0,62.126,25.6
2023-01-18T00:29:07+00:00,17.0,62.127,22.5
2023-01-18T00:30:10+00:00,17.0,62.128,19.6
2023-01-18T00:31:12+00:00,17.0,62.129,16.1
2023-01-18T00:32:15+00:00,16.9,62.13,17.0
2023-01-18T00:33:18+00:00,17.0,62.131,14.4
2023-01-18T00:34:20+00:00,17.0,62.132,14.3
2023-01-18T00:35:24+00:00,16.9,62.133,13.3
2023-01-18T00:36:26+00:00,17.0,62.134,10.4
2023-01-18T00:37:29+00:00,17.0,62.135,9.2
2023-01-18T00:38:32+00:00,17.0,62.136,9.7
2023-01-18T00:39:34+00:00,17.0,62.137,7.8
2023-01-18T00:40:37+00:00,16.9,62.138,6.9
2023-01-18T00:41:40+00:00,16.9,62.139,6.8
2023-01-18T00:42:43+00:00,16.9,62.14,7.4
2023-01-18T00:43:45+00:00,16.9,62.141,5.9
2023-01-18T00:44:48+00:00,16.9,62.142,5.3
2023-01-18T00:45:51+00:00,16.9,62.143,5.5
2023-01-18T00:46:54+00:00,16.8,62.144,5.7
2023-01-18T00:47:59+00:00,16.9,62.145,5.1
2023-01-18T00:48:59+00:00,16.9,62.146,4.3
2023-01-18T00:50:02+00:00,16.8,62.147,4.5
2023-01-18T00:51:04+00:00,16.9,62.148,4.7
2023-01-18T00:52:07+00:00,16.9,62.149,3.9
2023-01-18T00:53:10+00:00,16.9,62.15,3.4
2023-01-18T00:54:13+00:00,16.9,62.151,3.1
2023-01-18T00:55:15+00:00,17.0,62.152,3.0
2023-01-18T00:56:21+00:00,17.0,62.153,3.2
2023-01-18T00:57:21+00:00,17.0,62.154,85.5
2023-01-18T00:58:23+00:00,17.0,62.155,135.1
2023-01-18T00:59:26+00:00,17.1,62.156,136.6
2023-01-18T01:00:29+00:00,17.2,62.157,110.6
2023-01-18T01:01:32+00:00,17.3,62.158,152.0
2023-01-18T01:02:34+00:00,17.2,62.159,406.5
2023-01-18T01:03:37+00:00,17.2,62.16,324.0
2023-01-18T01:04:40+00:00,17.2,62.161,237.7
2023-01-18T01:05:45+00:00,17.2,62.162,202.1
2023-01-18T01:06:45+00:00,17.2,62.163,153.2
2023-01-18T01:07:48+00:00,17.2,62.164,136.5
2023-01-18T01:08:51+00:00,17.1,62.165,137.1
2023-01-18T01:09:53+00:00,17.1,62.166,134.5
2023-01-18T01:10:56+00:00,17.1,62.167,124.3
2023-01-18T01:11:59+00:00,17.1,62.168,119.3
2023-01-18T01:13:01+00:00,17.1,62.169,108.2
2023-01-18T01:14:04+00:00,17.1,62.17,97.3
2023-01-18T01:15:07+00:00,17.1,62.171,92.3
2023-01-18T01:16:10+00:00,17.0,62.172,86.8
2023-01-18T01:17:12+00:00,17.0,62.173,80.9
2023-01-18T01:18:15+00:00,17.0,62.174,70.8
2023-01-18T01:19:18+00:00,17.0,62.175,62.5
2023-01-18T01:20:21+00:00,16.9,62.176,58.6
2023-01-18T01:21:23+00:00,16.9,62.177,8.5
2023-01-18T01:22:26+00:00,16.9,62.178,8.4
2023-01-18T01:23:29+00:00,16.9,62.179,7.7
2023-01-18T01:24:31+00:00,16.9,62.18,7.3
2023-01-18T01:25:34+00:00,16.9,62.181,9.6
2023-01-18T01:26:37+00:00,16.9,62.182,10.6
2023-01-18T01:27:40+00:00,16.9,62.183,10.3
2023-01-18T01:28:42+00:00,16.9,62.184,11.3
2023-01-18T01:29:45+00:00,16.9,62.185,9.5
2023-01-18T01:30:48+00:00,16.9,62.186,11.2
2023-01-18T01:31:50+00:00,16.9,62.187,10.0
2023-01-18T01:32:53+00:00,16.9,62.188,9.4
2023-01-18T01:33:56+00:00,16.9,62.189,9.2
2023-01-18T01:34:59+00:00,16.9,62.19,8.7
2023-01-18T01:36:01+00:00,16.9,62.191,9.0
2023-01-18T01:37:04+00:00,16.9,62.192,8.3
2023-01-18T01:38:07+00:00,16.8,62.193,8.1
2023-01-18T01:39:09+00:00,16.8,62.194,6.4
2023-01-18T01:40:12+00:00,16.8,62.195,7.6
2023-01-18T01:41:15+00:00,16.8,62.196,7.5
2023-01-18T01:42:18+00:00,16.8,62.197,7.2
2023-01-18T01:43:20+00:00,16.8,62.198,6.4
2023-01-18T01:44:23+00:00,16.8,62.199,20.0
2023-01-18T01:45:26+00:00,16.8,62.2,33.0
2023-01-18T01:47:00+00:00,16.8,62.201,60.0
2023-01-18T01:48:03+00:00,16.8,62.202,77.0
2023-01-18T01:49:05+00:00,16.7,62.203,78.0
2023-01-18T01:50:08+00:00,16.7,62.204,90.0
2023-01-18T01:51:11+00:00,16.7,62.205,110.0
2023-01-18T01:52:14+00:00,16.7,62.206,80.0
2023-01-18T01:53:16+00:00,16.7,62.207,80.0
2023-01-18T01:54:19+00:00,16.7,62.208,80.0
2023-01-18T01:55:22+00:00,16.7,62.209,80.0
2023-01-18T01:56:25+00:00,16.7,62.21,80.0
2023-01-18T01:57:27+00:00,16.7,62.211,80.0
2023-01-18T01:58:30+00:00,16.7,62.212,80.0
2023-01-18T01:59:33+00:00,16.7,62.213,80.0
2023-01-18T02:00:36+00:00,16.6,62.214,80.0
2023-01-18T02:01:39+00:00,16.6,62.215,80.0
2023-01-18T02:02:41+00:00,16.6,62.216,80.0
